TIMESTAMP	NUMTWEETS
1347588000	11606
1347588300	11958
1347588600	12149
1347588900	11866
1347589200	12023
1347589500	12236
1347589800	12244
1347590100	12015
1347590400	11800
1347590700	11572
1347591000	11508
1347591300	11493
1347591600	12459
1347591900	11432
1347592200	11383
1347592500	6761
1347623100	1589
1347623400	10234
1347623700	2840
1347901800	499
1347902400	6761
1347902700	10772
1347903000	10806
1347903300	10701
1347903600	10554
1347903900	10356
1347904200	10543
1347904500	10334
1347904800	10749
1347905100	10239
1347905400	10140
1347905700	10004
1347906000	10345
1347906300	10422
1347906600	10253
1347906900	10152
1347907200	10292
1347907500	10067
1347907800	10322
1347908100	10212
1347908400	10593
1347908700	10258
1347909000	10571
1347909300	10735
1347909600	10687
1347909900	10739
1347910200	10737
1347910500	10827
1347910800	10656
1347911100	10670
1347911400	10793
1347911700	10767
1347912000	11114
1347912300	10747
1347912600	10937
1347912900	10882
1347913200	10856
1347913500	10820
1347913800	10930
1347914100	10971
1347914400	11082
1347914700	10914
1347915000	11179
1347915300	10982
1347915600	11193
1347915900	10691
1347916200	10692
1347916500	10882
1347916800	10852
1347917100	10968
1347917400	11002
1347917700	10964
1347918000	10701
1347918300	10900
1347918600	10826
1347918900	10814
1347919200	11748
1347919500	11072
1347919800	11161
1347920100	11024
1347920400	11108
1347920700	10932
1347921000	10920
1347921300	11325
1347921600	11014
1347921900	11097
1347922200	11267
1347922500	10944
1347922800	11773
1347923100	11276
1347923400	11069
1347923700	11171
1347924000	11220
1347924300	11305
1347924600	11406
1347924900	11004
1347925200	11170
1347925500	11259
1347925800	11146
1347926100	11097
1347926400	11927
1347926700	11180
1347927000	11323
1347927300	11675
1347927600	11642
1347927900	11730
1347928200	11808
1347928500	12049
1347928800	12081
1347929100	12256
1347929400	12046
1347929700	12912
1347930000	12819
1347930300	12375
1347930600	13123
1347930900	12685
1347931200	12836
1347931500	12560
1347931800	12782
1347932100	13071
1347932400	12736
1347932700	12576
1347933000	12750
1347933300	12825
1347933600	12952
1347933900	12897
1347934200	12508
1347934500	12349
1347934800	12732
1347935100	12981
1347935400	12637
1347935700	12276
1347936000	12157
1347936300	12001
1347936600	12302
1347936900	12188
1347937200	12746
1347937500	11891
1347937800	11754
1347938100	11471
1347938400	11322
1347938700	11439
1347939000	11244
1347939300	11144
1347939600	10825
1347939900	10554
1347940200	10224
1347940500	10219
1347940800	10479
1347941100	9847
1347941400	9425
1347941700	9164
1347942000	9253
1347942300	8934
1347942600	8886
1347942900	8684
1347943200	8345
1347943500	8184
1347943800	8271
1347944100	7990
1347944400	8295
1347944700	8007
1347945000	7778
1347945300	7759
1347945600	7738
1347945900	7545
1347946200	7347
1347946500	7127
1347946800	7206
1347947100	6905
1347947400	6834
1347947700	6743
1347948000	6989
1347948300	6483
1347948600	6368
1347948900	6294
1347949200	6314
1347949500	6095
1347949800	6253
1347950100	6160
1347950400	6102
1347950700	6021
1347951000	5873
1347951300	5972
1347951600	6257
1347951900	5951
1347952200	5877
1347952500	5965
1347952800	6076
1347953100	5761
1347953400	6027
1347953700	6029
1347954000	5853
1347954300	5745
1347954600	5682
1347954900	5813
1347955200	6186
1347955500	5815
1347955800	5824
1347956100	5862
1347956400	5958
1347956700	6015
1347957000	5952
1347957300	6014
1347957600	6073
1347957900	5938
1347958200	6107
1347958500	6159
1347958800	6513
1347959100	6226
1347959400	6394
1347959700	6328
1347960000	6408
1347960300	6617
1347960600	6861
1347960900	6971
1347961200	6824
1347961500	6954
1347961800	6988
1347962100	7129
1347962400	8000
1347962700	7472
1347963000	7773
1347963300	7777
1347963600	8026
1347963900	8126
1347964200	8562
1347964500	8597
1347964800	8363
1347965100	8598
1347965400	8759
1347965700	8788
1347966000	9619
1347966300	9256
1347966600	9256
1347966900	9440
1347967200	9641
1347967500	9741
1347967800	10170
1347968100	10380
1347968400	10079
1347968700	10476
1347969000	10642
1347969300	10902
1347969600	11128
1347969900	10894
1347970200	11023
1347970500	11031
1347970800	10946
1347971100	11110
1347971400	11426
1347971700	11691
1347972000	11511
1347972300	11477
1347972600	11710
1347972900	11745
1347973200	12573
1347973500	12209
1347973800	12082
1347974100	12177
1347974400	12514
1347974700	12616
1347975000	13164
1347975300	13195
1347975600	12932
1347975900	12867
1347976200	12974
1347976500	13318
1347976800	13905
1347977100	13363
1347977400	13593
1347977700	13809
1347978000	13838
1347978300	13879
1347978600	13738
1347978900	13440
1347979200	13564
1347979500	13353
1347979800	13457
1347980100	13485
1347980400	14213
1347980700	13259
1347981000	13114
1347981300	13171
1347981600	13163
1347981900	13006
1347982200	12994
1347982500	12868
1347982800	12201
1347983100	12335
1347983400	12146
1347983700	12234
1347984000	12808
1347984300	11970
1347984600	11953
1347984900	11714
1347985200	11906
1347985500	11490
1347985800	11471
1347986100	11617
1347986400	11322
1347986700	11106
1347987000	10789
1347987300	11021
1347987600	11221
1347987900	10798
1347988200	10659
1347988500	10691
1347988800	10501
1347989100	10493
1347989400	10505
1347989700	10148
1347990000	10211
1347990300	10282
1347990600	10091
1347990900	10218
1347991200	10964
1347991500	10209
1347991800	10168
1347992100	10253
1347992400	10347
1347992700	10457
1347993000	10496
1347993300	10584
1347993600	10958
